FID,REPDIST,PREC,APREC,BUREAU,BASICCAR,AREA,PERIMETER,SHAPE_Length,SHAPE_Area
1020,523,5,HARBOR,SOUTH BUREAU,5A25,16234060.9462,23920.9630217,0.0698586477475159,0.000146753214377638
1021,525,5,HARBOR,SOUTH BUREAU,5A25,7535534.03347,11352.8178612,0.035056116529393,6.81300375658775e-05
1022,527,5,HARBOR,SOUTH BUREAU,5A25,29575663.4646,22025.514557,0.0659454644758136,0.000267363768734055
1023,559,5,HARBOR,SOUTH BUREAU,5A59,86221425.996,58119.8558014,0.17428310043655,0.000779266657143048
1024,541,5,HARBOR,SOUTH BUREAU,5A55,11227506.17,17161.1484538,0.0533842623636254,0.000101486415964061
1025,558,5,HARBOR,SOUTH BUREAU,5A59,22604198.4711,22637.5566384,0.0681732284109369,0.00020430703474744
1026,555,5,HARBOR,SOUTH BUREAU,5A55,9770752.35549,13734.051394,0.0414793559539845,8.83118283568653e-05
1027,551,5,HARBOR,SOUTH BUREAU,5A55,22044916.0377,27115.6039016,0.0821757278768211,0.000199240635179525
1028,557,5,HARBOR,SOUTH BUREAU,5A55,6483349.63759,10362.5790231,0.0314193024789907,5.85939607025282e-05
1029,564,5,HARBOR,SOUTH BUREAU,5A59,5755771.83375,9612.80616543,0.0290968724797944,5.20183324857256e-05
1030,599,5,HARBOR,SOUTH BUREAU,5A59,109246869.259,62193.5331486,0.19018910183898,0.000987078545444755
1031,561,5,HARBOR,SOUTH BUREAU,5A55,10134274.2639,16840.4360109,0.0508986364860319,9.15804263282065e-05
1032,563,5,HARBOR,SOUTH BUREAU,5A85,11934268.7781,15327.4381378,0.0464741234022167,0.000107845380022612
1033,565,5,HARBOR,SOUTH BUREAU,5A55,2648278.6945,7346.81058703,0.0230931571974041,2.39327581301951e-05
1034,562,5,HARBOR,SOUTH BUREAU,5A55,8197959.78791,12407.2070328,0.0368345816019307,7.40822323056834e-05
1035,566,5,HARBOR,SOUTH BUREAU,5A59,5259427.48364,9154.79845702,0.0276105028995952,4.7528914755566e-05
1036,567,5,HARBOR,SOUTH BUREAU,5A59,4895508.65536,14799.4962122,0.0431322994975643,4.42371211013585e-05
1037,569,5,HARBOR,SOUTH BUREAU,5A59,18993138.8373,24016.4669482,0.0703209504292764,0.000171620423190473
1038,581,5,HARBOR,SOUTH BUREAU,5A85,19527607.2682,17628.3272227,0.0546151514472699,0.000176446480322393
1039,583,5,HARBOR,SOUTH BUREAU,5A85,16040352.006,20342.1197504,0.0620483147908799,0.000144930566739914
1040,585,5,HARBOR,SOUTH BUREAU,5A85,11991894.2755,14250.334117,0.0440611828190986,0.000108356037046267
1041,589,5,HARBOR,SOUTH BUREAU,5A85,12091542.315,27145.2820336,0.0803945852298308,0.000109245655837528
1042,587,5,HARBOR,SOUTH BUREAU,5A85,9164533.15458,15584.1447543,0.0444216358043353,8.27979737512795e-05
1043,584,5,HARBOR,SOUTH BUREAU,5A85,17920495.5397,21238.1193452,0.0643930360719242,0.000161906150201612
1044,1186,11,NORTHEAST,CENTRAL BUREAU,11A95,15543808.718,18001.5934204,0.0550286568797358,0.00014105703407392
1045,1195,11,NORTHEAST,CENTRAL BUREAU,11A95,12670716.5793,15777.0415366,0.0478438949688515,0.000114973106275423
1046,109,1,CENTRAL,CENTRAL BUREAU,1A1,3230627.16347,8216.94504856,0.024180175759181,2.93144219122105e-05
1047,105,1,CENTRAL,CENTRAL BUREAU,1A1,3825047.27627,9547.39519917,0.0286541130124595,3.47068306224579e-05
1048,101,1,CENTRAL,CENTRAL BUREAU,1A1,7244668.70769,12857.0192504,0.0391900150818011,6.57326567655354e-05
1049,219,2,RAMPART,CENTRAL BUREAU,2A39,5036772.75348,11135.5873657,0.0324755278921873,4.56994358711647e-05
1050,118,1,CENTRAL,CENTRAL BUREAU,1A1,10173646.954,12940.0761383,0.0392808216533582,9.23056788482591e-05
